#fields	indicator	indicator_type	meta.source	meta.do_notice
# The following line is for testing only.  Please keep it commented out when running in production.
#time.windows.com	Intel::DOMAIN	Test FQDN	T
nirvanaol.com	Intel::DOMAIN	Mandiant APT1 Report	T
ns06.net	Intel::DOMAIN	Mandiant APT1 Report	T
nytimesnews.net	Intel::DOMAIN	Mandiant APT1 Report	T
olmusic100.com	Intel::DOMAIN	Mandiant APT1 Report	T
onefastgame.net	Intel::DOMAIN	Mandiant APT1 Report	T
oplaymagzine.com	Intel::DOMAIN	Mandiant APT1 Report	T
pcclubddk.net	Intel::DOMAIN	Mandiant APT1 Report	T
phoenixtvus.com	Intel::DOMAIN	Mandiant APT1 Report	T
pop-musicsite.com	Intel::DOMAIN	Mandiant APT1 Report	T
progammerli.com	Intel::DOMAIN	Mandiant APT1 Report	T
purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
regicsgf.net	Intel::DOMAIN	Mandiant APT1 Report	T
reutersnewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
rssadvanced.org	Intel::DOMAIN	Mandiant APT1 Report	T
safalife.com	Intel::DOMAIN	Mandiant APT1 Report	T
saltlakenews.org	Intel::DOMAIN	Mandiant APT1 Report	T
satellitebbs.com	Intel::DOMAIN	Mandiant APT1 Report	T
searchforca.com	Intel::DOMAIN	Mandiant APT1 Report	T
shepmas.com	Intel::DOMAIN	Mandiant APT1 Report	T
skyswim.net	Intel::DOMAIN	Mandiant APT1 Report	T
softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
sportreadok.net	Intel::DOMAIN	Mandiant APT1 Report	T
staycools.net	Intel::DOMAIN	Mandiant APT1 Report	T
symanteconline.net	Intel::DOMAIN	Mandiant APT1 Report	T
syscation.com	Intel::DOMAIN	Mandiant APT1 Report	T
syscation.net	Intel::DOMAIN	Mandiant APT1 Report	T
tfxdccssl.net	Intel::DOMAIN	Mandiant APT1 Report	T
thehealthmood.net	Intel::DOMAIN	Mandiant APT1 Report	T
tibethome.org	Intel::DOMAIN	Mandiant APT1 Report	T
todayusa.org	Intel::DOMAIN	Mandiant APT1 Report	T
usabbs.org	Intel::DOMAIN	Mandiant APT1 Report	T
usapappers.com	Intel::DOMAIN	Mandiant APT1 Report	T
ushongkong.org	Intel::DOMAIN	Mandiant APT1 Report	T
usnewssite.com	Intel::DOMAIN	Mandiant APT1 Report	T
usnftc.org	Intel::DOMAIN	Mandiant APT1 Report	T
ustvb.com	Intel::DOMAIN	Mandiant APT1 Report	T
uszzcs.com	Intel::DOMAIN	Mandiant APT1 Report	T
voiceofman.com	Intel::DOMAIN	Mandiant APT1 Report	T
webservicesupdate.com	Intel::DOMAIN	Mandiant APT1 Report	T
worthhummer.net	Intel::DOMAIN	Mandiant APT1 Report	T
yahoodaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
youipcam.com	Intel::DOMAIN	Mandiant APT1 Report	T
08elec.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
09back.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
3ml.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
3pma.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
4cback.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
7cback.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
911.cnnnewsdaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ad.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-af.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
aam.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
aar.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
aarco.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-bne.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
abs.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
acer.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
acli-mail.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-co.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
acu.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
adb.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
add.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
addr.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
adi002.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
a-dl.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
admin.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
admin.datastorage01.org	Intel::DOMAIN	Mandiant APT1 Report	T
admin.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
admin.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
adobe.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
ads.bpyoyo.com	Intel::DOMAIN	Mandiant APT1 Report	T
adt.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
adt001.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
adt002.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
adtk.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
adtkl.bigish.net	Intel::DOMAIN	Mandiant APT1 Report	T
adtkl.gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
adtlk.bigish.net	Intel::DOMAIN	Mandiant APT1 Report	T
ae.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ec.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-ep.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
aero.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
aes.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ex.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
af.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
afda.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-fj.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
africa.mcafeepaying.com	Intel::DOMAIN	Mandiant APT1 Report	T
africa.todayusa.org	Intel::DOMAIN	Mandiant APT1 Report	T
africa.usabbs.org	Intel::DOMAIN	Mandiant APT1 Report	T
africadb.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
afw.globalowa.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ga.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
agl.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
ago.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-gon.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-he.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-he.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-if.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-iho.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
aiic.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
aip.comrepair.net	Intel::DOMAIN	Mandiant APT1 Report	T
airline.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
airplane.defenceonline.net	Intel::DOMAIN	Mandiant APT1 Report	T
ait.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ja.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-jsm.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-jsm.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
ak47.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
ak47.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
alarm.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
alarm.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
alcan.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
alion.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
alone.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
amanda.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
amne.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
ams.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
amusement.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
analysis.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
anglo.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
anti.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
aol.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-ol.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
aol.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
aol.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
aon.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
a-ov.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
apa.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
apa.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
apa.safalife.com	Intel::DOMAIN	Mandiant APT1 Report	T
apejack.bigish.net	Intel::DOMAIN	Mandiant APT1 Report	T
apekl.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-pep.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
app.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
app.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
apple.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
apple.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
apple.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
apple.rssadvanced.org	Intel::DOMAIN	Mandiant APT1 Report	T
aps.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
apss.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
apss.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
ara.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
ara.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
ara2.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
ara2.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
arainfo.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
arainfo.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-rdr.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
ares.aunewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
argsafhq.blackberrycluter.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-ri.comrepair.net	Intel::DOMAIN	Mandiant APT1 Report	T
armi.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
army.newsonlinesite.com	Intel::DOMAIN	Mandiant APT1 Report	T
army.todayusa.org	Intel::DOMAIN	Mandiant APT1 Report	T
ascn.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
asiv.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
asp.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
asp.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
asp.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
asp.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
ass.globalowa.com	Intel::DOMAIN	Mandiant APT1 Report	T
astone.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
atm.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
atom.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
a-uac.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-un.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
ausi.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
auto.aoldaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.companyinfosite.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.livemymsn.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.mcafeepaying.com	Intel::DOMAIN	Mandiant APT1 Report	T
auto.myyahoonews.com	Intel::DOMAIN	Mandiant APT1 Report	T
avast.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
avph.earthsolution.org	Intel::DOMAIN	Mandiant APT1 Report	T
a-za.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-za.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
a-zx.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
b.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bab.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
back.earthsolution.org	Intel::DOMAIN	Mandiant APT1 Report	T
back.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
back.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
back.worthhummer.net	Intel::DOMAIN	Mandiant APT1 Report	T
backsun.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
backup.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
backup.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
backup.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
backupsw.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
banner.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
barity.gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
basketball.todayusa.org	Intel::DOMAIN	Mandiant APT1 Report	T
bass.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
bat.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
bat.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
bat.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
bat.safalife.com	Intel::DOMAIN	Mandiant APT1 Report	T
bbb.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
bbh.dnsweb.org	Intel::DOMAIN	Mandiant APT1 Report	T
bbs.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
bbs.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bbsfu.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bcc.blackberrycluter.com	Intel::DOMAIN	Mandiant APT1 Report	T
bcc.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bcc.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
bee.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
bee.newspappers.org	Intel::DOMAIN	Mandiant APT1 Report	T
bee.usapappers.com	Intel::DOMAIN	Mandiant APT1 Report	T
bg-g.comrepair.net	Intel::DOMAIN	Mandiant APT1 Report	T
bhbt.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
bhbt.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
bing.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bitdefender.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bkav.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bkav2007.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bksy.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
black.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
black.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
blackfish.defenceonline.net	Intel::DOMAIN	Mandiant APT1 Report	T
bll.dnsweb.org	Intel::DOMAIN	Mandiant APT1 Report	T
blog.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
blog.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
blog.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
blog.regicsgf.net	Intel::DOMAIN	Mandiant APT1 Report	T
blow.reutersnewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
blue.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
bluefin.aunewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
bmi.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
bob.dnsweb.org	Intel::DOMAIN	Mandiant APT1 Report	T
bobo.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
bobo.oplaymagzine.com	Intel::DOMAIN	Mandiant APT1 Report	T
book.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
book.pop-musicsite.com	Intel::DOMAIN	Mandiant APT1 Report	T
book.reutersnewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
bot.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
bourne.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
bphb.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
bring.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
brog.regicsgf.net	Intel::DOMAIN	Mandiant APT1 Report	T
bswt.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
built.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
business.aunewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
business.chileexe77.com	Intel::DOMAIN	Mandiant APT1 Report	T
business.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
business.jobsadvanced.com	Intel::DOMAIN	Mandiant APT1 Report	T
business.satellitebbs.com	Intel::DOMAIN	Mandiant APT1 Report	T
business.yahoodaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
buy.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
buy.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
buycow.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
buyer.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
buz.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
c.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
caaid.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
cac.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
cac.worthhummer.net	Intel::DOMAIN	Mandiant APT1 Report	T
cache.aolon1ine.com	Intel::DOMAIN	Mandiant APT1 Report	T
cacq.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
cadfait.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
cais.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
cais.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
can.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
canada.cnndaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
canary.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
cappuccino.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
car1.bigdepression.net	Intel::DOMAIN	Mandiant APT1 Report	T
care.jobsadvanced.com	Intel::DOMAIN	Mandiant APT1 Report	T
care.satellitebbs.com	Intel::DOMAIN	Mandiant APT1 Report	T
cars.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
carvin.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
catalog.earthsolution.org	Intel::DOMAIN	Mandiant APT1 Report	T
ccsukl.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
cdc01.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
cdcd.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
cdd.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
cdrnkl.worthhummer.net	Intel::DOMAIN	Mandiant APT1 Report	T
cecilia.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
ce-ip.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
center.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
center.busketball.com	Intel::DOMAIN	Mandiant APT1 Report	T
center.infosupports.com	Intel::DOMAIN	Mandiant APT1 Report	T
ceros.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
cetv.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
chat.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
chat.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
check.staycools.net	Intel::DOMAIN	Mandiant APT1 Report	T
check.thehealthmood.net	Intel::DOMAIN	Mandiant APT1 Report	T
chicken.hugesoft.org	Intel::DOMAIN	Mandiant APT1 Report	T
chicken.pop-musicsite.com	Intel::DOMAIN	Mandiant APT1 Report	T
chivas.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
chq.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
christitannahill.appspot.com	Intel::DOMAIN	Mandiant APT1 Report	T
cib.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
cibuc.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
citrix.globalowa.com	Intel::DOMAIN	Mandiant APT1 Report	T
citt.downloadsite.me	Intel::DOMAIN	Mandiant APT1 Report	T
city.gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
class.arrowservice.net	Intel::DOMAIN	Mandiant APT1 Report	T
client.infobusinessus.org	Intel::DOMAIN	Mandiant APT1 Report	T
climate.newsonet.net	Intel::DOMAIN	Mandiant APT1 Report	T
climate.oplaymagzine.com	Intel::DOMAIN	Mandiant APT1 Report	T
clin.earthsolution.org	Intel::DOMAIN	Mandiant APT1 Report	T
cman.blackcake.net	Intel::DOMAIN	Mandiant APT1 Report	T
cmp.gmailboxes.com	Intel::DOMAIN	Mandiant APT1 Report	T
cobh.businessconsults.net	Intel::DOMAIN	Mandiant APT1 Report	T
coco.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
code.jobsadvanced.com	Intel::DOMAIN	Mandiant APT1 Report	T
code.mcafeepaying.com	Intel::DOMAIN	Mandiant APT1 Report	T
coe.nationtour.net	Intel::DOMAIN	Mandiant APT1 Report	T
coe.reutersnewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
coer.reutersnewsonline.com	Intel::DOMAIN	Mandiant APT1 Report	T
cok.purpledaily.com	Intel::DOMAIN	Mandiant APT1 Report	T
com.conferencesinfo.com	Intel::DOMAIN	Mandiant APT1 Report	T
comfile.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
commpany.msnhome.org	Intel::DOMAIN	Mandiant APT1 Report	T
company.canadatvsite.com	Intel::DOMAIN	Mandiant APT1 Report	T
compfile.softsolutionbox.net	Intel::DOMAIN	Mandiant APT1 Report	T
compu.firefoxupdata.com	Intel::DOMAIN	Mandiant APT1 Report	T
